"group","value"
"Control",2.62075673588629
"Control",2.03564140371101
"Control",2.77315448434297
"Control",3.27248908552949
"Control",2.37097543305053
"Control",1.83714566306151
"Control",2.39711188752218
"Control",1.92001068261217
"Control",1.65503481606643
"Control",2.70215136399757
"Control",1.60430360671956
"Control",0.244945951431152
"Control",1.57903623668883
"Control",2.76490961240503
"Control",3.06616211294498
"Control",1.80630364273281
"Control",1.9478529866849
"Control",2.41767081744612
"Control",0.687305971816934
"Control",4.42901920871088
"Control",1.75542934822786
"Control",2.73378541700719
"Control",4.85278144847257
"Control",2.67152529860719
"Control",1.88415074401915
"Control",0.698648011094055
"Control",1.08219974489877
"Control",2.05071604508242
"Control",1.61986713542886
"Control",2.72262510495383
"Control",0.974242406561916
"Control",3.8198705530795
"Control",0.729582485019159
"Control",2.58881577172952
"Control",1.36574664348394
"Control",0.73418458940376
"Control",2.28374900275796
"Control",0.518238832979189
"Control",2.91187965372916
"Control",2.97146876955315
"Control",3.27312697000082
"Control",3.46226848179135
"Control",1.3889171739176
"Control",1.63944676980813
"Control",0.470848215881543
"Control",3.13326376501152
"Control",1.55926086657647
"Control",2.12960479199715
"Control",2.87123259775048
"Control",2.50551471283755
"Tratamiento",2.87089225645468
"Tratamiento",1.27199071449668
"Tratamiento",2.3378022897474
"Tratamiento",3.58807152399518
"Tratamiento",2.85920136606431
"Tratamiento",3.56719115528653
"Tratamiento",3.12837875885543
"Tratamiento",1.66842111329913
"Tratamiento",1.8076145558289
"Tratamiento",2.45521021943308
"Tratamiento",3.09456887933296
"Tratamiento",3.13910080226561
"Tratamiento",2.97942187979326
"Tratamiento",3.87306241314598
"Tratamiento",1.35231587323969
"Tratamiento",0.0493015088799633
"Tratamiento",1.59743684123666
"Tratamiento",2.10256833327281
"Tratamiento",4.21686428369467
"Tratamiento",2.0892467058549
"Tratamiento",2.40821647244605
"Tratamiento",1.75349714098397
"Tratamiento",1.67830472334681
"Tratamiento",0.182980355999741
"Tratamiento",1.9646654186781
"Tratamiento",3.49737988257426
"Tratamiento",1.9547819125866
"Tratamiento",4.00964916430291
"Tratamiento",1.75616163691887
"Tratamiento",1.83256115932416
"Tratamiento",1.37910693517719
"Tratamiento",3.97004306742203
"Tratamiento",2.70525662102631
"Tratamiento",1.43875811200101
"Tratamiento",2.4990251684852
"Tratamiento",2.47555282958158
"Tratamiento",3.80417619507043
"Tratamiento",1.50793088816073
"Tratamiento",1.45141668309885
"Tratamiento",3.50863869821045
"Tratamiento",3.12634056082893
"Tratamiento",1.59517909886972
"Tratamiento",4.2160668884723
"Tratamiento",2.59022969867071
"Tratamiento",2.07442099976466
"Tratamiento",1.44731886497215
"Tratamiento",0.662859244470609
"Tratamiento",1.00364521063082
"Tratamiento",1.67797081814203
"Tratamiento",2.71671609185618
