Device	Pressure
Predicate	186
Predicate	188
Predicate	189
Predicate	189
Predicate	192
Predicate	193
Predicate	194
Predicate	194
Predicate	194
Predicate	195
Predicate	195
Predicate	196
Predicate	196
Predicate	197
Predicate	197
Predicate	198
Predicate	198
Predicate	199
Predicate	199
Predicate	201
Predicate	206
Predicate	207
Predicate	210
Predicate	213
Predicate	216
Predicate	218
Next_Gen	189
Next_Gen	190
Next_Gen	192
Next_Gen	193
Next_Gen	193
Next_Gen	196
Next_Gen	199
Next_Gen	199
Next_Gen	199
Next_Gen	202
Next_Gen	203
Next_Gen	204
Next_Gen	205
Next_Gen	206
Next_Gen	206
Next_Gen	207
Next_Gen	208
Next_Gen	208
Next_Gen	210
Next_Gen	210
Next_Gen	212
Next_Gen	214
Next_Gen	216
Next_Gen	216
Next_Gen	217
Next_Gen	218
