Sample	Urban.Type	Lawn	Richness	Temp.Mean	Photoperiod	Rh.Mean
15419	3	Yes	30	16.12930952	10.05777196	41.65877976
15426	8	Yes	3	14.0019605	10.06396384	64.32543741
15438	9	No	22	13.79680357	10.06041899	63.47509921
15448	9	Yes	1	14.69578035	10.06267742	65.77493076
15455	8	No	22	14.17297123	10.0613815	56.9891369
15456	8	No	15	15.73808491	10.19417184	57.51313367
15462	9	Yes	19	12.39228323	10.0590102	61.05699405
15465	9	No	16	13.61843403	10.06055161	58.86364087
15467	9	Yes	19	14.41450595	10.19819065	69.05625
15476	3	No	8	15.54475645	10.05894006	41.47053571
15485	3	No	20	11.38851835	10.05439894	45.69647817
15489	3	No	25	16.18087302	10.0554255	36.56840278
15493	3	No	8	15.97985119	10.05633019	38.09027778
15505	8	No	20	15.31389087	10.06143325	49.20019841
15510	9	Yes	8	13.46529464	10.07474453	70.34047619
15522	1	No	15	13.49547718	10.05335437	40.4735119
15527	3	No	14	16.58656498	10.05522988	34.79513889
15533	3	Yes	18	15.2638001	10.05705755	44.10223214
15556	9	Yes	8	14.78128423	10.19698592	65.30491071
15560	9	Yes	8	14.33007783	10.98024487	77.98452381
15561	9	Yes	12	14.09525843	10.98094164	81.16259921
15589	3	Yes	24	13.45859226	10.97776065	79.48670635
15593	9	No	25	13.57086012	10.75637805	63.95109127
15600	8	No	16	14.20691865	10.97970341	77.96746032
15606	9	No	21	13.50567708	10.97925672	80.7859623
15608	8	No	38	16.05418506	10.05758944	46.07276816
15611	8	No	29	13.47177381	10.97766242	79.0844246
15617	9	Yes	21	12.98928571	10.97842708	81.25734127
15621	8	No	12	13.87603373	10.97861741	77.6733631
15627	9	Yes	0	15.30306359	10.98040095	76.66935711
15634	8	Yes	5	14.7396379	10.98109342	76.5702877
15640	3	No	15	13.31538393	10.97838933	78.31760913
15644	9	Yes	25	18.02439439	11.94875462	63.42775974
15645	3	Yes	19	13.43805357	10.97737616	79.16388889
15651	3	No	19	13.01361806	10.97594539	79.40009921
15676	1	No	21	12.11680456	10.97538327	80.81210317
15680	1	No	41	16.91890228	11.94804353	57.37053571
15682	9	Yes	15	14.29708383	10.98689756	81.07232143
15686	9	Yes	12	17.81969196	11.94951732	67.29985119
15689	8	No	16	14.24709623	10.97973126	76.83382937
15692	8	No	21	14.98633085	11.70008896	83.53244048
15703	3	No	21	13.23863839	10.97649784	76.8797619
15707	3	No	43	18.35675248	11.94818607	53.34965278
15721	9	Yes	16	18.30075942	11.94866544	60.30243056
15726	3	No	12	13.16719246	10.97698471	77.80843254
15730	3	No	9	18.11309375	11.94824834	54.90337302
15735	3	Yes	26	18.34870188	11.94834759	56.16671627
15740	9	Yes	2	18.25144246	11.94868542	62.46701389
15763	3	No	24	13.20722669	10.97639256	77.80248016
15767	3	No	41	18.48669395	11.9481726	52.75128968
15775	9	Yes	28	16.69455605	12.93203974	63.55406746
15778	9	Yes	31	16.70018403	11.94843285	66.09608135
15784	8	No	28	18.17752579	11.94859615	61.80853175
15790	9	No	23	17.43446577	11.94853899	63.89246032
15796	8	No	35	18.05974355	11.9484572	58.16646825
15801	8	No	30	17.8328497	11.94833502	61.09722222
15807	9	No	34	14.9570501	11.6998979	89.76299603
15812	9	No	34	17.09102115	12.93336103	63.56589556
15820	8	Yes	8	18.37846329	11.94877405	62.87108135
15824	3	No	40	18.14599256	11.94842802	56.17271825
15828	3	No	29	16.37267708	12.93395991	58.79454365
15830	3	Yes	34	18.20163591	11.94829841	57.2859127
15834	3	Yes	29	20.04792708	14.41165529	72.93630952
15842	3	No	32	15.22383185	11.94811542	59.27415675
15846	3	No	34	13.80600298	12.93579877	61.26850198
15851	1	No	38	15.0741622	12.93622175	61.24608135
15865	3	No	29	16.60118056	12.93538308	55.97638889
15882	8	No	26	17.46360169	12.93295031	57.4453869
15887	3	No	41	16.91613442	12.93546229	54.87415675
15892	3	No	5	16.39046825	12.93501674	57.25362103
15897	9	Yes	28	17.58435069	13.16685876	67.4515873
15903	9	Yes	24	16.48264633	12.9275599	65.60982143
15915	9	Yes	45	19.74661458	13.97753298	53.87197421
15916	3	Yes	28	16.80283036	12.93443291	56.71393849
15927	8	Yes	8	17.39091121	12.93192557	60.15114087
15943	8	No	25	16.98891347	12.93297127	60.23917749
