sample_id	group	Oxygen	ATP
S001	Soleus	7.567	8.536
S002	Soleus	5.827	10.982
S003	Soleus	6.012	10.054
S004	Soleus	5.237	11.845
S005	Gastrocnemius	3.268	9.201
S006	Soleus	6.333	11.748
S007	Gastrocnemius	2.595	10.805
S008	Soleus	6.154	11.14
S009	Gastrocnemius	3.738	8.622
S010	Soleus	4.952	12.089
S011	Soleus	6.683	10.715
S012	Soleus	6.767	10.822
S013	Gastrocnemius	2.326	10.269
S014	Soleus	6.574	10.057
S015	Soleus	5.373	10.723
S016	Soleus	7.732	9.815
S017	Soleus	9.162	7.391
S018	Soleus	6.257	11.373
S019	Gastrocnemius	4.31	8.359
S020	Gastrocnemius	3.263	10.002
S021	Soleus	6.46	9.304
S022	Soleus	6.016	12.002
S023	Gastrocnemius	5.102	7.277
S024	Gastrocnemius	5.494	6.943
S025	Gastrocnemius	2.755	8.562
S026	Gastrocnemius	2.348	9.949
S027	Gastrocnemius	1.847	11.752
S028	Soleus	6.842	9.688
S029	Soleus	7.52	10.856
S030	Gastrocnemius	0.879	12.199
S031	Soleus	6.439	11.066
S032	Soleus	7.627	9.67
S033	Gastrocnemius	2.016	10.646
S034	Soleus	6.881	11.373
S035	Gastrocnemius	0.463	11.382
S036	Gastrocnemius	4.011	8.436
S037	Gastrocnemius	2.156	8.882
S038	Gastrocnemius	3.546	8.8
S039	Gastrocnemius	3.315	10.094
S040	Gastrocnemius	2.751	8.832
S041	Soleus	7.643	9.438
S042	Gastrocnemius	1.898	11.839
S043	Gastrocnemius	2.537	8.894
S044	Soleus	5.108	13.067
S045	Soleus	8.548	9.641
S046	Gastrocnemius	2.212	10.859
S047	Soleus	6.601	10.444
S048	Gastrocnemius	2.045	9.609
S049	Soleus	6.864	11.355
S050	Soleus	6.679	10.08
S051	Gastrocnemius	4.3	9.032
S052	Soleus	6.317	10.993
S053	Soleus	7.855	9.741
S054	Soleus	6.821	9.765
S055	Soleus	5.964	12.18
S056	Gastrocnemius	3.542	8.125
S057	Gastrocnemius	2.213	10.612
S058	Soleus	6.465	9.234
S059	Soleus	5.952	12.709
S060	Gastrocnemius	2.266	10.71
S061	Soleus	5.089	10.689
S062	Gastrocnemius	2.735	10.578
S063	Gastrocnemius	2.691	10.455
S064	Gastrocnemius	0.551	10.759
S065	Soleus	7.42	7.012
S066	Gastrocnemius	2.824	9.282
S067	Soleus	6.026	11.474
S068	Gastrocnemius	3.401	9.099
S069	Soleus	7.804	10.337
S070	Soleus	7.312	11.427
S071	Soleus	6.351	10.538
S072	Gastrocnemius	3.004	10.369
S073	Gastrocnemius	3.757	9.256
S074	Soleus	8.093	11.681
S075	Gastrocnemius	1.828	11.271
S076	Soleus	5.724	12.187
S077	Gastrocnemius	3.435	8.432
S078	Soleus	7.931	9.891
S079	Soleus	6.554	10.434
S080	Gastrocnemius	3.298	8.695
S081	Soleus	7.523	9.032
S082	Gastrocnemius	2.685	8.74
S083	Soleus	7.922	7.514
S084	Soleus	6.542	10.507
S085	Gastrocnemius	3.872	9.728
S086	Soleus	7.174	10.22
S087	Gastrocnemius	3.874	6.337
S088	Gastrocnemius	1.3	10.373
S089	Gastrocnemius	2.247	12.423
S090	Soleus	6.718	11.028
S091	Soleus	6.84	11.385
S092	Gastrocnemius	3.329	8.067
S093	Soleus	5.662	12.921
S094	Gastrocnemius	2.409	9.95
S095	Soleus	5.495	12.178
S096	Gastrocnemius	2.137	11.742
S097	Gastrocnemius	2.015	10.501
S098	Soleus	6.901	8.582
S099	Soleus	5.971	11.585
S100	Soleus	7.337	11.727
S101	Soleus	6.49	10.472
S102	Soleus	6.077	9.376
S103	Soleus	8.452	7.287
S104	Gastrocnemius	3.577	7.948
S105	Soleus	7.154	8.877
S106	Soleus	7.059	9.881
S107	Soleus	6.38	10.235
S108	Gastrocnemius	4.289	7.1
S109	Gastrocnemius	3.672	9.06
S110	Soleus	5.276	11.337
S111	Soleus	8.26	8.783
S112	Soleus	6.117	10.476
S113	Soleus	5.39	11.603
S114	Soleus	7.39	10.117
S115	Gastrocnemius	1.8	10.461
S116	Gastrocnemius	0.568	10.277
S117	Gastrocnemius	1.992	11.114
S118	Gastrocnemius	2.836	9.401
S119	Gastrocnemius	3.644	8.249
S120	Soleus	6.067	11.201
S121	Gastrocnemius	3.175	8.902
S122	Soleus	5.827	10.402
S123	Soleus	7.897	9.493
S124	Soleus	5.639	12.084
S125	Gastrocnemius	3.266	8.151
S126	Gastrocnemius	2.188	11.533
S127	Soleus	6.625	12.668
S128	Soleus	6.982	9.495
S129	Soleus	7.425	9.158
S130	Soleus	6.166	10.032
S131	Soleus	7.149	10.845
S132	Gastrocnemius	2.949	8.665
S133	Soleus	5.99	10.463
S134	Gastrocnemius	2.372	9.789
S135	Soleus	8.516	7.855
S136	Gastrocnemius	4.491	6.951
S137	Soleus	6.964	10.187
S138	Soleus	5.148	11.844
S139	Soleus	6.669	10.523
S140	Gastrocnemius	2.362	9.098
S141	Soleus	8.798	6.794
S142	Soleus	6	10.555
S143	Gastrocnemius	2.477	9.322
S144	Soleus	7.33	9.432
S145	Gastrocnemius	2.531	8.47
S146	Soleus	7.329	10.462
S147	Gastrocnemius	2.412	9.951
S148	Soleus	7.866	7.293
S149	Soleus	7.407	9.51
S150	Gastrocnemius	2.696	10.378
S151	Gastrocnemius	3.493	9.062
