sample_id,group,DrugDose,CellViability
S001,MCF7,3.738,6.428
S002,MCF7,4.185,7.895
S003,A549,7.022,11.395
S004,MCF7,2.761,8.262
S005,MCF7,3.544,5.981
S006,A549,6.893,10.484
S007,A549,6.54,11.542
S008,MCF7,3.656,7.055
S009,A549,5.717,11.101
S010,MCF7,4.328,5.838
S011,MCF7,2.348,7.324
S012,MCF7,4.111,6.43
S013,A549,5.546,12.035
S014,A549,8.201,9.878
S015,A549,7.721,10.621
S016,A549,5.686,12.001
S017,A549,7.203,11.749
S018,A549,6.514,11.649
S019,A549,5.488,12.021
S020,A549,7.308,12.209
S021,MCF7,1.842,10.161
S022,A549,7.111,9.944
S023,MCF7,3.329,7.573
S024,A549,6.348,13.425
S025,A549,5.037,12.269
S026,MCF7,1.433,9.624
S027,A549,5.953,11.819
S028,A549,6.866,13.026
S029,A549,7.32,9.592
S030,MCF7,2.242,7.31
S031,MCF7,1.235,9.063
S032,MCF7,2.101,7.523
S033,A549,5.83,11.872
S034,A549,5.884,13.267
S035,A549,7.425,10.1
S036,MCF7,3.049,6.514
S037,A549,4.647,12.948
S038,A549,6.936,11.643
S039,MCF7,1.733,8.101
S040,A549,5.029,13.97
S041,A549,6.775,10.623
S042,A549,5.629,12.016
S043,MCF7,2.546,8.939
S044,MCF7,1.151,9.611
S045,MCF7,1.115,9.253
S046,A549,7.2,9.785
S047,MCF7,1.622,9.054
S048,A549,7.537,9.715
S049,MCF7,4.64,5.17
S050,MCF7,3.073,7.27
S051,MCF7,3.417,6.176
S052,MCF7,3.331,6.45
S053,MCF7,2.02,6.467
S054,MCF7,2.038,7.388
S055,MCF7,3.672,5.658
S056,MCF7,1.765,8.64
S057,A549,6.059,12.366
S058,A549,8.679,10.082
S059,MCF7,2.665,7.331
S060,A549,6.636,12.123
S061,A549,6.84,10.677
S062,MCF7,3.135,6.503
S063,MCF7,3.454,6.776
S064,MCF7,4.311,6.279
S065,A549,4.843,13.252
S066,A549,7.045,10.867
S067,A549,6.78,12.374
S068,A549,7.062,10.836
S069,A549,7.575,9.617
S070,A549,5.925,12.222
S071,A549,3.499,14.125
S072,A549,5.757,12.77
S073,A549,7.597,9.486
S074,MCF7,2.666,6.129
S075,A549,6.758,13.042
S076,A549,8.465,11.099
S077,A549,6.259,11.223
S078,A549,7.225,12.361
S079,MCF7,3.698,7.195
S080,A549,5.162,14.153
S081,MCF7,2.621,8.74
S082,A549,7.457,10.944
S083,MCF7,2.819,7.512
S084,MCF7,3.371,6.469
S085,A549,6.684,11.582
S086,A549,6.87,12.208
S087,MCF7,2.975,6.871
S088,MCF7,2.541,8.776
S089,MCF7,3.914,7.008
S090,MCF7,2.036,7.943
S091,MCF7,0.415,10.302
S092,MCF7,4.267,5.058
S093,A549,6.682,11.885
S094,A549,6.519,10.712
S095,A549,6.473,11.223
S096,A549,6.106,12.758
S097,MCF7,3.11,8.25
S098,A549,5.924,14.231
S099,MCF7,3.904,4.15
S100,MCF7,3.792,6.745
S101,MCF7,2.072,8.917
S102,A549,6.962,9.44
S103,MCF7,1.282,9.434
S104,A549,6.104,11.339
S105,MCF7,1.888,8.526
S106,A549,6.768,13.139
S107,MCF7,2.449,7.656
S108,A549,5.365,13.602
S109,MCF7,3.41,6.653
S110,MCF7,2.579,8.642
S111,MCF7,1.869,8.706
S112,MCF7,4.065,6.094
S113,MCF7,4.191,5.554
S114,A549,6.386,12.531
S115,A549,8.164,12.071
S116,MCF7,1.819,8.259
S117,MCF7,2.769,6.781
S118,A549,8.099,9.482
S119,A549,6.148,10.054
S120,A549,5.262,13.726
S121,MCF7,1.178,8.789
S122,A549,7.566,13.128
S123,A549,7.731,9.306
S124,MCF7,3.38,9.656
S125,A549,4.725,13.525
S126,MCF7,2.64,8.835
S127,A549,5.725,12.211
S128,A549,6.451,12.177
S129,A549,7.815,12.182
S130,MCF7,1.996,8.807
S131,MCF7,3.844,5.271
S132,MCF7,3.218,5.444
S133,MCF7,1.583,8.434
S134,MCF7,3.43,7.026
S135,MCF7,2.796,7.413
S136,A549,6.163,12.129
S137,MCF7,2.38,9.613
S138,A549,5.047,11.854
S139,A549,7.233,9.569
S140,MCF7,3.718,5.715
S141,MCF7,3.142,6.883
S142,A549,5.32,11.97
S143,A549,6.792,12.451
S144,A549,6.466,13.23
S145,MCF7,2.416,8.325
S146,A549,6.258,11.147
S147,MCF7,1.075,7.77
S148,MCF7,2.999,7.772
S149,A549,6.176,11.805
S150,A549,8.106,10.345
S151,MCF7,0.931,9.812
S152,A549,6.074,9.968
S153,A549,5.216,11.5
S154,A549,5.935,11.369
S155,MCF7,0.799,10.084
S156,A549,7.065,11.215
S157,MCF7,2.599,5.917
S158,A549,5.237,12.733
S159,A549,4.945,13.746
S160,A549,7.367,10.274
S161,MCF7,2.999,7.488
S162,MCF7,0.369,10.184
S163,MCF7,1.904,8.217
S164,MCF7,2.145,8.185
S165,A549,6.384,13.025
S166,MCF7,3.041,7.836
S167,MCF7,1.275,7.173
S168,A549,7,11.263
S169,MCF7,0.766,10.679
S170,MCF7,3.172,6.682
S171,A549,5.504,12.416
S172,A549,7.853,9.658
S173,MCF7,3.968,5.717
S174,MCF7,2.191,7.92
S175,MCF7,3.657,5.76
S176,MCF7,3.666,6.46
S177,MCF7,1.49,9.337
S178,A549,6.338,11.789
S179,A549,5.229,13.608
S180,MCF7,3.033,6.153
S181,A549,7.299,12.321
S182,MCF7,2.515,7.934
S183,A549,6.497,12.419
S184,MCF7,0.746,10.846
S185,MCF7,1.467,9.11
S186,MCF7,1.874,8.746
S187,MCF7,1.966,9.446
S188,MCF7,4.633,5.962
S189,MCF7,2.74,7.847
S190,MCF7,2.554,8.847
S191,A549,5.955,12.199
S192,MCF7,2.177,7.113
S193,MCF7,0.782,7.851
S194,MCF7,1.59,8.436
S195,MCF7,2.44,9.792
S196,A549,5.469,14.191
S197,MCF7,2.945,6.133
S198,A549,6.945,13.478
S199,MCF7,1.931,7.035
S200,A549,6.174,11.83
