sample_id	group	Herbicide	PlantBiomass
S001	SoilSandy	4.643	6.008
S002	SoilSandy	4.282	6.048
S003	SoilClay	7.836	10.175
S004	SoilClay	7.384	11.989
S005	SoilSandy	3.236	7.478
S006	SoilClay	5.257	12.346
S007	SoilSandy	2.33	8.595
S008	SoilClay	6.66	9.654
S009	SoilClay	6.311	12.43
S010	SoilClay	7.771	9.602
S011	SoilSandy	2.556	9.243
S012	SoilSandy	2.31	7.88
S013	SoilSandy	2.796	7.788
S014	SoilSandy	3.236	7.726
S015	SoilClay	7.072	11.152
S016	SoilClay	7.122	11.498
S017	SoilClay	4.973	12.278
S018	SoilClay	5.651	11.364
S019	SoilClay	6.391	11.249
S020	SoilSandy	2.525	6.742
S021	SoilClay	6.376	11.832
S022	SoilSandy	5.225	5.066
S023	SoilClay	5.853	12.334
S024	SoilClay	5.982	9.811
S025	SoilClay	4.841	11.36
S026	SoilClay	4.447	14.014
S027	SoilClay	6.764	11.446
S028	SoilClay	6.507	8.9
S029	SoilClay	5.769	10.27
S030	SoilClay	6.915	10.601
S031	SoilSandy	4.639	4.95
S032	SoilClay	5.719	11.384
S033	SoilSandy	5.032	4.149
S034	SoilSandy	3.341	8.732
S035	SoilSandy	4.638	5.766
S036	SoilClay	5.195	10.871
S037	SoilClay	6.555	11.087
S038	SoilClay	6.396	11.572
S039	SoilSandy	3.825	7.05
S040	SoilSandy	4.595	4.2
S041	SoilSandy	3.148	8.378
S042	SoilClay	6.705	9.679
S043	SoilSandy	4.498	5.945
S044	SoilClay	6.411	10.606
S045	SoilClay	6.265	8.784
S046	SoilSandy	3.762	6.509
S047	SoilSandy	5.656	6.046
S048	SoilClay	6.066	10.152
S049	SoilSandy	1.246	9.27
S050	SoilClay	5.152	10.806
S051	SoilClay	6.348	10.379
S052	SoilClay	4.411	13.791
S053	SoilClay	6.89	10.567
S054	SoilSandy	3.307	7.405
S055	SoilClay	5.607	10.729
S056	SoilSandy	3.982	5.522
S057	SoilSandy	3.328	6.528
S058	SoilClay	6.081	11.777
S059	SoilSandy	4.34	4.907
S060	SoilClay	6.456	10.485
S061	SoilSandy	3.087	7.278
S062	SoilClay	6.21	10.959
S063	SoilClay	5.579	10.539
S064	SoilSandy	4.522	5.994
S065	SoilClay	6.073	12.216
S066	SoilClay	6.284	10.875
S067	SoilClay	6.449	9.191
S068	SoilClay	5.695	10.797
S069	SoilClay	5.534	11.677
S070	SoilSandy	4.401	5.844
S071	SoilSandy	1.941	10.703
S072	SoilClay	7.148	8.961
S073	SoilClay	5.086	14.906
S074	SoilClay	6.224	11.226
S075	SoilSandy	5.253	4.632
S076	SoilSandy	3.767	7.013
S077	SoilSandy	3.251	9.561
S078	SoilSandy	2.88	6.957
S079	SoilSandy	5.39	5.345
S080	SoilSandy	3.351	8.898
S081	SoilSandy	3.011	7.526
S082	SoilSandy	4.012	6.101
S083	SoilSandy	5.082	4.559
S084	SoilSandy	2.948	7.561
S085	SoilClay	8.057	8.161
S086	SoilSandy	4.506	5.254
S087	SoilSandy	5.215	5.804
S088	SoilClay	5.502	12.342
S089	SoilSandy	3.208	7.212
S090	SoilSandy	4.386	5.18
S091	SoilClay	4.716	12.106
S092	SoilSandy	4.319	7.498
S093	SoilSandy	3.094	5.616
S094	SoilSandy	3.304	6.135
S095	SoilClay	7.672	10.145
S096	SoilSandy	3.176	7.827
S097	SoilClay	5.641	11.834
S098	SoilSandy	4.681	5.863
S099	SoilSandy	2.773	7.679
S100	SoilSandy	3.445	8.02
S101	SoilSandy	2.098	8.932
S102	SoilClay	5.619	10.803
S103	SoilClay	8.079	9.676
S104	SoilSandy	4.733	6.714
S105	SoilClay	6.776	10.629
S106	SoilSandy	3.614	6.581
S107	SoilSandy	4.176	6.911
S108	SoilClay	7.068	11.562
S109	SoilSandy	3.735	7.813
S110	SoilClay	6.818	10.752
S111	SoilClay	5.501	12.942
S112	SoilClay	7.175	7.847
S113	SoilClay	5.768	10.972
S114	SoilClay	6.277	11.377
S115	SoilSandy	4.434	5.061
S116	SoilSandy	4.274	5.507
S117	SoilSandy	2.191	9.443
S118	SoilSandy	4.836	6.701
S119	SoilClay	6.066	12.453
S120	SoilSandy	4.389	7.573
S121	SoilClay	4.835	13.163
S122	SoilSandy	1.776	10.355
S123	SoilClay	4.749	11.591
S124	SoilClay	7.609	8.532
S125	SoilSandy	4.125	7.468
S126	SoilSandy	3.405	7.93
S127	SoilClay	7.117	9.04
S128	SoilClay	5.854	10.828
S129	SoilClay	6.162	10.274
S130	SoilSandy	4.237	6.974
S131	SoilClay	6.549	10.344
S132	SoilClay	6.848	8.756
S133	SoilSandy	1.492	10.085
S134	SoilSandy	3.041	8.948
S135	SoilClay	7.218	10.892
S136	SoilClay	6.584	9.886
S137	SoilSandy	3.884	7.14
S138	SoilClay	6.967	10.53
S139	SoilClay	4.348	11.721
S140	SoilClay	7.297	9.505
S141	SoilClay	7.644	9.537
S142	SoilSandy	2.003	8.959
S143	SoilSandy	5.068	4.737
S144	SoilClay	7.282	8.716
S145	SoilClay	5.166	12.49
S146	SoilSandy	2.569	8.82
S147	SoilClay	7.633	8.33
S148	SoilSandy	3.667	6.362
S149	SoilSandy	2.283	9.461
S150	SoilClay	6.427	11.971
S151	SoilSandy	3.245	7.209
S152	SoilSandy	3.965	8.439
S153	SoilClay	9.659	8.483
S154	SoilClay	5.923	11.391
S155	SoilClay	7.007	10.845
S156	SoilClay	6.602	9.722
S157	SoilSandy	1.617	9.252
S158	SoilSandy	2.893	7.872
S159	SoilSandy	3.739	7.415
S160	SoilClay	7.086	9.973
S161	SoilSandy	2.183	7.69
S162	SoilSandy	5.77	7.683
S163	SoilClay	6.477	10.606
S164	SoilClay	7.056	11.607
S165	SoilClay	7.146	9.855
S166	SoilSandy	2.73	7.74
S167	SoilClay	6.841	9.791
S168	SoilClay	6.909	10.9
S169	SoilSandy	2.87	7.089
S170	SoilSandy	3.909	7.017
S171	SoilClay	6.973	10.03
S172	SoilClay	7.046	9.042
S173	SoilSandy	5.218	6.026
S174	SoilClay	6.662	10.461
S175	SoilClay	7.235	9.436
S176	SoilSandy	2.982	7.638
S177	SoilClay	5.284	12.187
S178	SoilClay	5.643	12.893
S179	SoilClay	5.54	12.991
S180	SoilClay	5.251	11.077
S181	SoilSandy	3.672	8.016
S182	SoilSandy	4.44	5.501
S183	SoilClay	7.088	7.834
S184	SoilSandy	2.411	9.325
S185	SoilSandy	3.295	8.413
S186	SoilClay	6.17	11.54
S187	SoilClay	6.519	10.544
S188	SoilClay	6.49	10.549
S189	SoilSandy	4.559	6.273
S190	SoilClay	7.339	9.53
S191	SoilSandy	3.555	8.814
S192	SoilSandy	4.362	5.57
S193	SoilClay	7.006	10.951
S194	SoilClay	6.357	12.68
S195	SoilSandy	3.567	6.392
S196	SoilSandy	5.396	3.786
S197	SoilSandy	3.193	8.311
S198	SoilClay	7.2	10.416
S199	SoilClay	5.299	12.215
S200	SoilSandy	4.531	6.472
