sample_id;group;Temperature;EnzymeActivity
S001;Escherichia coli K-12;4.484;12.094
S002;Escherichia coli K-12;2.715;12.192
S003;Bacillus subtilis 168;6.357;13.956
S004;Bacillus subtilis 168;6.62;14.161
S005;Bacillus subtilis 168;8.278;11.381
S006;Bacillus subtilis 168;7.081;14.54
S007;Bacillus subtilis 168;6.471;10.843
S008;Bacillus subtilis 168;6.049;12.674
S009;Escherichia coli K-12;3.537;10.636
S010;Escherichia coli K-12;3.458;9.67
S011;Escherichia coli K-12;1.442;14.037
S012;Bacillus subtilis 168;5.665;11.479
S013;Escherichia coli K-12;2.724;11.716
S014;Bacillus subtilis 168;6.231;14.824
S015;Escherichia coli K-12;4.015;10.308
S016;Bacillus subtilis 168;6.212;14.429
S017;Bacillus subtilis 168;7.53;11.11
S018;Escherichia coli K-12;2.643;11.718
S019;Bacillus subtilis 168;7.232;12.503
S020;Bacillus subtilis 168;4.975;13.9
S021;Escherichia coli K-12;4.939;8.363
S022;Bacillus subtilis 168;7.193;12.993
S023;Escherichia coli K-12;3.73;11.635
S024;Escherichia coli K-12;1.503;12.704
S025;Bacillus subtilis 168;6.685;13.335
S026;Bacillus subtilis 168;9.199;9.225
S027;Escherichia coli K-12;5.06;8.156
S028;Bacillus subtilis 168;9.807;11.059
S029;Escherichia coli K-12;3.794;10.27
S030;Bacillus subtilis 168;6.964;12.074
S031;Escherichia coli K-12;1.972;11.426
S032;Bacillus subtilis 168;5.416;13.668
S033;Bacillus subtilis 168;5.28;15.283
S034;Bacillus subtilis 168;8.26;9.878
S035;Bacillus subtilis 168;6.13;16.109
S036;Escherichia coli K-12;2.844;11.91
S037;Bacillus subtilis 168;7.112;14.93
S038;Bacillus subtilis 168;6.128;14.9
S039;Escherichia coli K-12;3.861;9.996
S040;Bacillus subtilis 168;7.637;11.041
S041;Bacillus subtilis 168;5.806;13.976
S042;Escherichia coli K-12;2.407;11.919
S043;Bacillus subtilis 168;6.111;14.398
S044;Escherichia coli K-12;4.27;10.076
S045;Bacillus subtilis 168;6.082;14.833
S046;Escherichia coli K-12;2.712;8.877
S047;Escherichia coli K-12;3.862;10.291
S048;Bacillus subtilis 168;5.888;13.397
S049;Bacillus subtilis 168;8.474;11.145
S050;Escherichia coli K-12;2.402;12.163
S051;Escherichia coli K-12;3.373;10.596
S052;Escherichia coli K-12;4.538;10.575
S053;Bacillus subtilis 168;6.738;12.386
S054;Escherichia coli K-12;4.401;8.194
S055;Bacillus subtilis 168;5.76;15.017
S056;Escherichia coli K-12;5.295;9.736
S057;Escherichia coli K-12;2.826;11.121
S058;Escherichia coli K-12;2.986;10.855
S059;Bacillus subtilis 168;7.215;12.164
S060;Bacillus subtilis 168;6.694;13.273
S061;Escherichia coli K-12;4.256;9.063
S062;Bacillus subtilis 168;5.395;14.217
S063;Bacillus subtilis 168;7.314;14.843
