sample_id,group,UVExposure,SurvivalRate
S001,PopUrban,3.143,8.275
S002,PopRural,7.301,11.148
S003,PopUrban,3.908,7.837
S004,PopUrban,2.5,8.404
S005,PopRural,5.928,11.699
S006,PopUrban,3.905,8.853
S007,PopRural,6.69,13.161
S008,PopRural,9.101,9.415
S009,PopUrban,3.929,6.958
S010,PopRural,5.378,14.171
S011,PopUrban,4.665,8.536
S012,PopRural,7.038,9.347
S013,PopRural,9.529,8.476
S014,PopRural,7.483,9.375
S015,PopUrban,4.889,6.575
S016,PopRural,8.127,9.764
S017,PopRural,6.12,11.627
S018,PopRural,8.322,10.571
S019,PopUrban,3.755,8.274
S020,PopUrban,2.211,9.72
S021,PopUrban,3.928,7.045
S022,PopUrban,4.121,7.766
S023,PopUrban,3.761,9.559
S024,PopRural,7.87,10.972
S025,PopUrban,4.359,7.998
S026,PopRural,7.324,9.957
S027,PopRural,8.266,10.977
S028,PopRural,6.148,12.369
S029,PopRural,9.538,10.354
S030,PopRural,6.077,11.922
S031,PopRural,6.296,11.622
S032,PopUrban,3.149,9.287
S033,PopRural,5.584,12.183
S034,PopUrban,2.132,10.401
S035,PopUrban,2.603,9.627
S036,PopUrban,2.915,9.734
S037,PopUrban,3.886,8.737
S038,PopRural,8.472,9.569
S039,PopRural,7.628,11.533
S040,PopRural,8.631,7.886
S041,PopRural,6.211,12.77
S042,PopRural,6.708,11.789
S043,PopUrban,1.757,12.285
S044,PopRural,8.724,9.859
S045,PopRural,9.463,8.079
S046,PopRural,6.915,10.627
S047,PopUrban,4.816,6.32
S048,PopUrban,3.568,9.901
S049,PopUrban,5.07,5.146
S050,PopRural,8.298,10.418
S051,PopUrban,2.979,7.939
S052,PopUrban,3.558,9.455
S053,PopUrban,3.344,9.277
S054,PopUrban,3.747,9.442
S055,PopRural,7.693,10.455
S056,PopUrban,4.406,8.05
S057,PopRural,6.878,10.583
S058,PopRural,9.165,8.363
S059,PopUrban,4.251,9.003
S060,PopRural,6.592,11.327
S061,PopRural,4.516,14.74
S062,PopRural,7.264,11.725
S063,PopUrban,4.274,6.423
S064,PopUrban,2.873,9.514
S065,PopRural,6.809,11.113
S066,PopRural,5.538,12.677
S067,PopRural,7.182,12.546
S068,PopUrban,2.279,8.95
S069,PopUrban,3.345,10.123
S070,PopRural,6.429,11.224
S071,PopRural,8.131,8.624
S072,PopRural,8.001,9.802
S073,PopRural,7.532,9.76
S074,PopUrban,5.092,6.436
S075,PopRural,5.813,11.728
S076,PopRural,6.917,11.494
S077,PopRural,7.678,10.76
S078,PopUrban,2.575,10.781
S079,PopRural,7.882,10.806
S080,PopUrban,5.282,7.323
S081,PopRural,6.852,11.704
S082,PopUrban,2.29,8.815
S083,PopRural,8.248,8.842
S084,PopRural,5.679,12.845
S085,PopUrban,5.114,7.119
S086,PopUrban,3.531,8.075
S087,PopRural,8.413,7.992
S088,PopRural,6.788,11.423
S089,PopUrban,2.877,8.065
S090,PopUrban,4.958,8.95
S091,PopRural,7.014,9.951
S092,PopRural,6.788,11.567
S093,PopRural,7.408,9.857
S094,PopUrban,2.082,9.036
S095,PopUrban,2.983,9.397
S096,PopUrban,2.878,9.417
S097,PopRural,6.141,11.278
S098,PopRural,7.393,9.917
S099,PopRural,6.69,13.693
S100,PopUrban,2.954,9.883
S101,PopUrban,5.676,7.556
S102,PopRural,7.124,10.936
S103,PopRural,7.585,11.588
S104,PopUrban,2.034,11.345
S105,PopUrban,2.111,11.256
S106,PopUrban,2.516,9.448
S107,PopUrban,2.21,9.973
S108,PopRural,8.507,10.017
S109,PopUrban,4.569,6.324
S110,PopUrban,4.365,8.775
S111,PopUrban,5.234,6.246
S112,PopRural,7.993,8.764
S113,PopUrban,3.829,9.585
S114,PopUrban,2.808,10.695
S115,PopUrban,4.395,8.226
S116,PopRural,5.632,14.29
S117,PopRural,6.267,11.762
S118,PopUrban,3.684,9.299
S119,PopUrban,3.384,8.565
S120,PopUrban,5.9,7.053
S121,PopRural,7.66,12.873
S122,PopUrban,3.01,9.843
S123,PopRural,8.367,9.198
S124,PopUrban,5.775,5.644
S125,PopUrban,3.153,9.577
S126,PopUrban,3.643,8.343
S127,PopRural,5.933,12.15
S128,PopUrban,2.818,8.921
S129,PopRural,6.597,11.791
S130,PopUrban,2.91,10.01
S131,PopUrban,2.902,8.304
S132,PopRural,5.325,14.18
S133,PopRural,7.041,10.043
S134,PopUrban,3.153,10.07
S135,PopUrban,3.691,6.455
S136,PopUrban,2.999,9.763
S137,PopRural,7.707,9.924
S138,PopUrban,2.691,8.743
S139,PopRural,8.613,8.275
S140,PopRural,6.547,12.275
S141,PopUrban,3.157,7.506
S142,PopUrban,3.484,8.16
S143,PopUrban,2.582,10.182
S144,PopRural,6.924,10.187
S145,PopUrban,3.782,8.614
S146,PopRural,6.679,10.65
S147,PopUrban,3.661,9.661
S148,PopRural,8.224,11.642
S149,PopUrban,4.387,8.222
S150,PopUrban,2.088,9.242
S151,PopRural,5.586,13.038
S152,PopUrban,3.757,9.033
S153,PopRural,6.261,10.499
S154,PopRural,8.438,10.28
S155,PopRural,6.426,10.712
S156,PopUrban,4.658,9.096
S157,PopUrban,3.872,8.034
S158,PopUrban,4.001,8.17
S159,PopRural,8.152,9.984
S160,PopRural,7.927,9.436
S161,PopRural,8.472,11.379
S162,PopRural,6.314,11.87
S163,PopUrban,2.284,11.593
S164,PopRural,6.174,10.376
S165,PopRural,7.26,11.655
S166,PopRural,7.962,9.387
S167,PopUrban,4.83,8.551
S168,PopRural,6.893,12.831
S169,PopRural,6.838,11.349
S170,PopUrban,2.692,8.558
S171,PopRural,7.071,10.645
S172,PopRural,4.432,13.663
S173,PopRural,8.32,10.172
S174,PopUrban,2.47,10.405
S175,PopUrban,4.127,10.004
S176,PopRural,6.44,11.725
S177,PopRural,7.941,9.375
S178,PopRural,6.578,9.926
S179,PopRural,8.006,9.395
S180,PopRural,6.907,10.868
S181,PopRural,6.399,10.997
S182,PopUrban,5.406,6.401
S183,PopRural,7.653,12.596
S184,PopUrban,3.41,7.905
S185,PopRural,7.023,10.094
S186,PopUrban,6.703,6.389
S187,PopRural,6.903,12.769
S188,PopRural,5.515,14.113
S189,PopUrban,2.361,10.542
S190,PopRural,7.007,11.991
S191,PopUrban,1.411,9.694
S192,PopRural,7.368,9.558
S193,PopRural,5.923,10.315
S194,PopRural,6.528,10.148
S195,PopUrban,3.565,9.044
S196,PopRural,5.167,11.528
S197,PopRural,7.126,11.073
S198,PopRural,6.848,10.579
S199,PopRural,8.3,9.074
S200,PopUrban,3.539,7.083
