sample_id;group;PesticideDose;ReproductionCount
S001;HiveWest;6.044;14.4
S002;HiveWest;6.545;12.034
S003;HiveWest;6.603;12.539
S004;HiveEast;3.023;11.566
S005;HiveWest;6.789;11.879
S006;HiveWest;6.11;11.271
S007;HiveEast;3.209;10.755
S008;HiveWest;4.264;13.748
S009;HiveWest;6.324;11.606
S010;HiveEast;3.301;10.872
S011;HiveEast;0.952;14.319
S012;HiveWest;8.001;11.39
S013;HiveWest;5.392;14.768
S014;HiveEast;3.836;10.037
S015;HiveEast;2.844;10.141
S016;HiveWest;7.463;11.285
S017;HiveWest;5.843;14.486
S018;HiveWest;6.908;11.101
S019;HiveEast;4.72;9.211
S020;HiveWest;5.785;13.567
S021;HiveEast;2.55;12.393
S022;HiveEast;1.297;11.617
S023;HiveWest;6.337;12.464
S024;HiveWest;7.338;10.801
S025;HiveWest;5.973;11.518
S026;HiveWest;5.648;13.236
S027;HiveEast;2.203;11.753
S028;HiveEast;3.415;12.993
S029;HiveWest;5.76;13.245
S030;HiveEast;3.49;9.588
S031;HiveEast;3.288;10.781
S032;HiveEast;2.055;10.947
S033;HiveWest;5.83;10.907
S034;HiveEast;1.79;10.862
S035;HiveEast;0.556;13.287
S036;HiveEast;4.38;9.487
S037;HiveEast;2.936;10.101
S038;HiveWest;5.713;14.472
S039;HiveEast;1.282;12.566
S040;HiveWest;6.489;13.346
S041;HiveWest;6.215;13.771
S042;HiveEast;2.069;11.79
S043;HiveEast;2.721;9.436
S044;HiveWest;6.404;13.278
S045;HiveWest;5.957;12.376
S046;HiveEast;2.678;11.419
S047;HiveEast;4.428;8.728
S048;HiveEast;2.022;10.83
S049;HiveEast;3.59;9.526
S050;HiveEast;3.796;9.944
S051;HiveWest;6.194;12.272
S052;HiveWest;6.847;13.078
S053;HiveWest;5.877;11.864
S054;HiveWest;6.024;12.893
S055;HiveWest;5.033;15.323
S056;HiveEast;1.708;10.892
S057;HiveWest;7.375;11.459
S058;HiveWest;6.474;12.823
S059;HiveEast;3.779;10.641
S060;HiveWest;8.004;11.269
S061;HiveEast;1.79;13.76
S062;HiveWest;5.968;10.745
S063;HiveEast;2.097;13.142
S064;HiveEast;3.168;10.934
S065;HiveEast;2.049;10.996
S066;HiveEast;1.773;11.72
S067;HiveEast;3.765;11.283
S068;HiveWest;6.648;13.4
S069;HiveWest;6.147;13.51
S070;HiveWest;6.451;12.227
S071;HiveWest;5.275;12.478
S072;HiveWest;6.592;11.749
S073;HiveEast;2.833;11.234
S074;HiveWest;7.155;10.272
S075;HiveWest;7.276;10.301
S076;HiveWest;6.083;13.568
S077;HiveWest;7.257;11.065
S078;HiveWest;6.386;11.744
S079;HiveWest;5.706;13.368
S080;HiveWest;6.464;11.4
S081;HiveWest;6.73;11.698
S082;HiveEast;3.061;9.967
S083;HiveEast;2.333;13.028
S084;HiveEast;2.353;10.204
S085;HiveEast;2.071;12.391
S086;HiveWest;6.108;13.89
S087;HiveEast;4.196;10.904
S088;HiveEast;3.265;12.693
S089;HiveWest;6.733;12.515
S090;HiveEast;2.433;12.415
S091;HiveEast;2.501;11.561
S092;HiveWest;7.221;10.498
S093;HiveEast;3.318;10.405
S094;HiveWest;7.016;13.261
S095;HiveEast;2.007;8.642
S096;HiveWest;5.678;15.287
S097;HiveEast;1.8;10.711
S098;HiveEast;3.368;10.81
S099;HiveEast;2.026;10.808
S100;HiveEast;1.688;13.422
S101;HiveEast;2.323;12.662
S102;HiveEast;4.321;8.76
S103;HiveWest;7.423;13.18
S104;HiveWest;5.999;12.614
S105;HiveWest;7.002;9.649
S106;HiveWest;4.519;15.233
S107;HiveEast;2.257;11.848
S108;HiveEast;2.123;11.904
S109;HiveEast;3.086;11.807
S110;HiveWest;6.311;12.827
S111;HiveEast;4.749;9.911
S112;HiveEast;3.091;10.405
S113;HiveWest;4.978;14.225
S114;HiveWest;6.496;11.214
S115;HiveEast;2.389;12.867
S116;HiveEast;3.025;8.277
S117;HiveWest;4.985;11.686
S118;HiveWest;3.991;14.493
S119;HiveWest;6.743;11.158
S120;HiveEast;1.4;13.528
S121;HiveWest;5.665;13.17
S122;HiveWest;4.767;14.16
S123;HiveWest;6.518;11.881
S124;HiveWest;7.479;11.358
S125;HiveWest;6.599;11.893
S126;HiveEast;2.517;11.918
S127;HiveWest;5.052;15.485
S128;HiveWest;6.528;13.527
S129;HiveEast;1.758;12.075
S130;HiveWest;5.714;11.827
S131;HiveEast;3.673;10.155
S132;HiveWest;4.177;13.174
S133;HiveWest;5.512;14.152
S134;HiveWest;7.079;11.427
S135;HiveEast;4.014;10.016
S136;HiveEast;3.057;9.731
S137;HiveWest;7.166;11.783
S138;HiveEast;2.618;10.296
S139;HiveWest;7.544;10.755
S140;HiveEast;3.956;10.048
S141;HiveWest;6.254;10.744
S142;HiveEast;3.424;9.233
S143;HiveEast;1.64;11.936
S144;HiveWest;6.224;14.413
S145;HiveEast;1.702;14.359
S146;HiveWest;7.75;9.652
S147;HiveWest;5.53;13.899
S148;HiveWest;7.11;11.712
S149;HiveEast;3.157;12.386
S150;HiveWest;6.663;10.88
S151;HiveWest;7.526;10.881
S152;HiveEast;2.417;11.39
S153;HiveWest;7.227;11.833
S154;HiveEast;2.253;12.426
S155;HiveWest;6.036;12.147
S156;HiveEast;2.889;11.165
S157;HiveWest;5.077;13.112
S158;HiveWest;7.166;11.316
S159;HiveEast;1.902;11.862
S160;HiveWest;5.85;13.202
S161;HiveWest;5.233;12.161
S162;HiveEast;4.37;9.052
S163;HiveWest;7.074;12.326
S164;HiveWest;7.851;11.557
S165;HiveEast;1.289;12.725
S166;HiveWest;6.741;12.717
S167;HiveWest;7.474;10.576
S168;HiveWest;5.403;16.281
S169;HiveEast;2.63;9.417
S170;HiveWest;6.354;10.974
S171;HiveEast;0.722;13.545
S172;HiveEast;1.893;11.324
