sample_id	group	AirPollution	HeartRate
S001	Finch	6.356	10.75
S002	Sparrow	4.11	6.162
S003	Sparrow	4.872	5.082
S004	Sparrow	3.339	7.908
S005	Finch	8.868	10.308
S006	Finch	7.758	11.173
S007	Finch	7.351	10.905
S008	Sparrow	2.187	7.364
S009	Finch	7.219	11.934
S010	Sparrow	2.809	9.339
S011	Finch	5.497	13.534
S012	Sparrow	4.728	6.073
S013	Finch	4.91	12.925
S014	Sparrow	3.043	7.779
S015	Sparrow	4.484	4.656
S016	Finch	4.855	14.997
S017	Sparrow	1.613	9.344
S018	Finch	6.688	12.075
S019	Sparrow	3.235	8.964
S020	Sparrow	0.979	9.279
S021	Finch	6.435	12.901
S022	Sparrow	1.966	10.084
S023	Finch	7.7	9.501
S024	Finch	6.092	11.305
S025	Sparrow	4.649	6.477
S026	Sparrow	2.818	6.248
S027	Finch	6.951	14.415
S028	Finch	7.143	10.754
S029	Sparrow	4.008	7.213
S030	Sparrow	2.975	7.253
S031	Finch	8.346	8.552
S032	Finch	6.724	10.302
S033	Finch	8.285	11.358
S034	Sparrow	2.671	8.612
S035	Sparrow	4.703	4.556
S036	Sparrow	5.562	6.593
S037	Finch	5.773	12.178
S038	Sparrow	2.946	7.633
S039	Finch	7.17	12.757
S040	Sparrow	1.945	8.499
S041	Sparrow	3.68	6.873
S042	Finch	6.971	11.123
S043	Sparrow	2.357	8.352
S044	Sparrow	2.734	8.571
S045	Sparrow	3.354	7.805
S046	Sparrow	3.167	7.491
S047	Sparrow	3.1	7.515
S048	Sparrow	3.027	9.209
S049	Sparrow	3.346	9.093
S050	Sparrow	4.25	7.303
S051	Sparrow	3.138	8.356
S052	Finch	6.494	10.985
S053	Sparrow	2.609	8.722
S054	Sparrow	1.402	8.208
S055	Sparrow	4.232	6.334
S056	Sparrow	3.438	7.556
S057	Sparrow	2.545	8.543
S058	Sparrow	3.898	8.493
S059	Sparrow	5.101	5.943
S060	Finch	8.057	10.278
S061	Sparrow	2.37	7.806
S062	Finch	8.476	10.615
S063	Finch	6.561	12.824
S064	Finch	5.257	14.312
S065	Sparrow	2.857	7.769
S066	Finch	6.764	12.388
S067	Sparrow	1.865	9.137
S068	Finch	8.517	11.837
S069	Finch	6.346	12.364
S070	Finch	6.825	12.717
S071	Finch	7.369	10.274
S072	Finch	6.925	12.45
S073	Finch	6.236	12.42
S074	Sparrow	1.922	8.226
S075	Sparrow	4.035	7.587
S076	Sparrow	4.41	7.096
S077	Finch	7.91	9.389
S078	Finch	8.253	9.976
S079	Sparrow	5.178	8.473
S080	Finch	7.529	12.498
