"sample_id","population","sex","batch","exposure","fitness"
"S001","P2","F","B1",6.029,8.266
"S002","P2","F","B2",5.915,8.478
"S003","P1","M","B2",2.039,5.96
"S004","P2","F","B2",5.136,8.538
"S005","P2","M","B3",4.28,8.712
"S006","P1","M","B1",1.942,6.422
"S007","P2","F","B3",3.971,8.819
"S008","P1","F","B1",2.993,4.891
"S009","P2","F","B1",3.779,10.851
"S010","P2","F","B1",5.836,7.891
"S011","P1","F","B1",1.929,6.812
"S012","P2","M","B2",4.587,11.143
"S013","P2","F","B1",3.871,10.071
"S014","P1","M","B2",1.369,7.094
"S015","P1","F","B1",2.587,7.16
"S016","P2","M","B1",7.041,6.471
"S017","P2","F","B1",3.28,12.093
"S018","P1","F","B3",2.163,6.459
"S019","P1","M","B2",0.763,7.621
"S020","P2","F","B1",4.962,7.87
"S021","P2","M","B1",6.597,7.731
"S022","P1","M","B2",2.189,8.277
"S023","P2","M","B3",5.605,8.039
"S024","P2","M","B3",5.224,9.037
"S025","P1","F","B2",3.809,5.524
"S026","P1","F","B1",1.175,9.248
"S027","P1","F","B2",3.145,6.518
"S028","P2","F","B1",4.396,8.53
"S029","P1","M","B2",1.165,7.138
"S030","P2","M","B2",3.099,10.155
"S031","P2","M","B2",3.196,10.946
"S032","P2","F","B2",3.878,10.118
"S033","P1","F","B2",1.228,8.14
"S034","P2","M","B1",6.239,7.104
"S035","P1","M","B3",2.989,5.635
"S036","P2","M","B1",5.162,9.579
"S037","P1","M","B2",0.613,8.287
"S038","P1","F","B1",0.693,7.652
"S039","P2","F","B1",6.362,8.609
"S040","P2","F","B2",3.903,10.11
"S041","P1","M","B2",1.979,6.105
"S042","P1","M","B3",2.67,8.039
"S043","P1","M","B1",1.565,6.267
"S044","P2","F","B3",6.607,5.612
"S045","P1","F","B1",2.607,4.14
"S046","P2","F","B2",6.382,8.269
"S047","P2","F","B1",5.763,7.704
"S048","P2","M","B3",4.375,9.349
"S049","P2","M","B2",5.082,9.208
"S050","P2","M","B1",6.376,7.157
"S051","P1","M","B2",2.724,4.668
"S052","P1","F","B1",1.167,5.883
"S053","P1","M","B2",2.733,5.927
"S054","P2","M","B2",5.878,8.297
"S055","P1","F","B2",1.547,5.176
"S056","P2","F","B1",5.301,8.989
"S057","P2","M","B1",6.493,7.929
"S058","P1","M","B2",2.829,7.466
"S059","P1","M","B3",1.709,7.456
"S060","P1","F","B3",0.424,8.781
"S061","P2","M","B1",5.588,9.017
"S062","P2","M","B1",5.09,8.891
"S063","P2","M","B3",5.967,7.953
"S064","P2","F","B1",5.079,9.037
"S065","P2","F","B1",3.431,11.313
"S066","P1","M","B2",1.757,6.812
"S067","P1","F","B1",3.892,4.608
"S068","P2","M","B1",4.927,8.208
"S069","P2","F","B1",4.429,8.613
"S070","P1","M","B3",2.349,6.978
"S071","P1","M","B1",3.628,6.919
"S072","P1","M","B1",2.089,5.943
"S073","P1","F","B3",3.239,5.572
"S074","P1","M","B3",0.355,7.615
"S075","P1","F","B2",3.446,6.462
"S076","P2","M","B2",6.045,7.637
"S077","P1","F","B2",1.724,7.455
"S078","P1","M","B3",0.891,8.457
"S079","P1","M","B1",2.134,5.812
"S080","P1","M","B3",3.785,5.11
"S081","P2","F","B1",5.054,8.718
"S082","P1","F","B2",0.923,8.752
"S083","P1","M","B3",2.486,5.281
"S084","P2","F","B1",3.736,9.064
"S085","P2","F","B3",5.406,9.36
"S086","P2","M","B2",3.54,9.872
"S087","P1","M","B3",1.695,6.644
"S088","P1","M","B1",2.598,6.515
"S089","P1","M","B1",3.397,5.282
"S090","P1","M","B1",2.688,8.179
"S091","P2","M","B3",4.987,9.272
"S092","P1","F","B2",1.698,7.463
"S093","P1","M","B3",2.498,7.433
"S094","P2","M","B2",4.874,9.066
"S095","P2","F","B2",4.751,9.297
"S096","P2","F","B1",5.16,7.767
"S097","P1","M","B3",2.442,4.265
"S098","P1","M","B1",2.241,5.552
"S099","P2","M","B1",2.83,11.284
"S100","P2","F","B1",6.027,6.94
"S101","P2","M","B1",4.752,9.937
"S102","P1","F","B1",1.131,8.594
"S103","P1","F","B2",2.055,7.162
"S104","P1","F","B3",2.049,6.749
"S105","P2","M","B1",4.339,8.295
"S106","P2","M","B3",6.564,7.127
"S107","P2","F","B2",3.377,10.17
"S108","P2","M","B1",5.864,8.799
"S109","P1","M","B3",3.477,6.832
"S110","P1","F","B1",0.091,9.41
"S111","P2","F","B1",3.134,9.738
"S112","P2","F","B3",5.245,10.426
"S113","P2","F","B1",7.224,7.787
"S114","P1","F","B1",1.249,7.974
"S115","P1","M","B2",1.223,5.571
"S116","P1","F","B1",1.277,6.768
"S117","P1","M","B1",-0.189,9.12
"S118","P1","F","B1",2.213,7.548
"S119","P2","M","B1",5.353,7.467
"S120","P2","M","B2",5.207,12.005
"S121","P1","M","B3",2.796,3.65
"S122","P1","M","B3",0.546,8.218
"S123","P2","M","B3",4.373,9.367
"S124","P2","F","B1",5.395,7.941
"S125","P2","M","B2",4.108,9.573
"S126","P1","F","B2",2.053,7.689
"S127","P2","M","B1",4.567,8.558
"S128","P2","F","B3",5.452,6.465
"S129","P1","F","B2",2.153,6.941
"S130","P2","M","B1",4.73,9.269
"S131","P2","M","B3",5.466,8.521
"S132","P2","F","B1",5.574,9.094
"S133","P2","F","B3",4.769,9.218
